325,Huntelaar,Netherlands,forward,48,1,12,0,0
326,Kuyt,Netherlands,forward,516,11,248,7,0
327,Mathijsen,Netherlands,defender,450,1,265,8,0
328,Ooijer,Netherlands,defender,90,0,30,2,0
329,Robben,Netherlands,forward,267,6,81,5,0
330,Sneijder,Netherlands,midfielder,532,15,279,7,0
331,Stekelenburg,Netherlands,goalkeeper,540,0,149,0,15
332,Van der Vaart,Netherlands,midfielder,257,8,122,4,0
333,Van der Wiel,Netherlands,defender,360,0,189,2,0
334,de Jong,Netherlands,midfielder,448,1,250,15,0
335,de Zeeuw,Netherlands,midfielder,47,0,37,2,0
336,van Bommel,Netherlands,midfielder,540,2,307,31,0
337,van Bronckhorst,Netherlands,defender,540,1,271,10,0
338,van Persie,Netherlands,forward,479,14,108,1,0
339,Barron,New Zealand,midfielder,1,0,0,0,0
340,Bertos,New Zealand,midfielder,270,0,79,5,0
341,Brockie,New Zealand,midfielder,11,0,5,0,0
342,Christie,New Zealand,midfielder,21,0,9,1,0
343,Elliott,New Zealand,midfielder,270,1,119,7,0
344,Fallon,New Zealand,forward,222,1,60,1,0
345,Killen,New Zealand,forward,240,3,60,7,0
346,Lochhead,New Zealand,defender,270,0,47,5,0
347,Nelsen,New Zealand,defender,270,0,92,1,0
348,Paston,New Zealand,goalkeeper,270,0,64,0,9
349,Reid,New Zealand,defender,270,2,90,10,0
350,Smeltz,New Zealand,forward,270,5,59,5,0
351,Smith,New Zealand,defender,270,1,79,2,0
352,Vicelich,New Zealand,defender,249,1,88,4,0
353,Wood,New Zealand,forward,66,1,16,0,0
354,Afolabi,Nigeria,defender,103,0,38,1,0
355,Ayila Yussuf,Nigeria,midfielder,90,0,44,1,0
356,Echiejile,Nigeria,defender,67,0,22,1,0
357,Enyeama,Nigeria,goalkeeper,270,0,30,0,20
358,Etuhu,Nigeria,midfielder,270,0,111,5,0
359,Haruna,Nigeria,midfielder,180,1,77,3,0
360,Kaita,Nigeria,midfielder,123,2,45,2,0
361,Kanu,Nigeria,forward,57,0,18,0,0
362,Martins,Nigeria,forward,71,2,16,0,0
363,Obasi,Nigeria,forward,195,6,62,8,0
364,Odemwingie,Nigeria,forward,75,0,28,1,0
365,Odiah,Nigeria,defender,270,0,107,5,0
366,Shittu,Nigeria,defender,270,0,61,5,0
367,Taiwo,Nigeria,defender,129,3,36,4,0
368,Uche,Nigeria,midfielder,196,6,73,2,0
369,Victor Obinna,Nigeria,forward,72,3,25,4,0
370,Yakubu,Nigeria,forward,250,6,43,2,0
371,Yobo,Nigeria,defender,225,0,52,2,0
372,Ahn Young-Hak,North Korea,midfielder,270,1,123,11,0
373,Cha Jong-Hyok,North Korea,defender,255,4,74,5,0
374,Choe Kum-Chol,North Korea,forward,23,1,13,0,0
375,Hong Yong-Jo,North Korea,forward,270,4,107,3,0
376,Ji Yun-Nam,North Korea,midfielder,270,3,73,11,0
377,Jong Tae-Se,North Korea,forward,270,13,58,2,0
378,Kim Kum-Il,North Korea,forward,42,0,18,0,0
379,Kim Yong-Jun,North Korea,midfielder,32,1,10,0,0
380,Mun In-Guk,North Korea,midfielder,205,2,71,7,0
381,Nam Song-Chol,North Korea,defender,15,0,6,0,0
382,Pak Chol-Jin,North Korea,defender,270,0,56,4,0
383,Pak Nam-Chol,North Korea,midfielder,238,1,101,7,0
384,Ri Jun-Il,North Korea,defender,270,1,75,2,0
385,Ri Kwang-Chon,North Korea,defender,270,1,59,4,0
386,Ri Myong-Guk,North Korea,goalkeeper,270,0,46,0,19
387,Alcaraz,Paraguay,defender,390,1,172,13,0
388,Barreto,Paraguay,midfielder,111,2,38,3,0
389,Barrios,Paraguay,forward,308,6,89,2,0
390,Benitez,Paraguay,forward,83,2,25,2,0
391,Bonet,Paraguay,midfielder,300,0,108,4,0
392,Caniza,Paraguay,defender,90,4,44,1,0
393,Cardozo,Paraguay,forward,204,3,53,2,0
394,Caceres,Paraguay,defender,90,0,71,0,0
395,Caceres,Paraguay,midfielder,354,1,170,17,0
396,Da Silva,Paraguay,defender,480,1,235,11,0
397,Morel Rodriguez,Paraguay,defender,480,1,202,7,0
398,Ortigoza,Paraguay,midfielder,75,0,60,5,0
399,Riveros,Paraguay,midfielder,480,5,236,22,0
400,Santa Cruz,Paraguay,forward,312,6,134,1,0
401,Santana,Paraguay,midfielder,120,2,28,7,0
402,Torres,Paraguay,defender,82,2,29,1,0
403,Valdez,Paraguay,forward,337,8,57,9,0
404,Vera,Paraguay,midfielder,414,5,138,14,0
405,Veruen,Paraguay,defender,90,0,26,3,0
406,Villar,Paraguay,goalkeeper,480,0,99,0,10
407,Almeida,Portugal,forward,136,5,42,3,0
408,Amorim,Portugal,midfielder,5,1,7,0,0
409,Bruno Alves,Portugal,defender,360,1,166,5,0
410,Carvalho,Portugal,defender,360,2,173,11,0
411,Danny,Portugal,forward,176,1,62,7,0
412,Deco,Portugal,midfielder,62,0,45,1,0
413,Duda,Portugal,defender,70,0,18,2,0
414,Eduardo,Portugal,goalkeeper,360,0,51,0,17
415,Ferreira,Portugal,defender,90,0,37,1,0
416,Fabio Coentrao,Portugal,defender,360,1,152,13,0
417,Liedson,Portugal,forward,121,4,27,2,0
418,Meireles,Portugal,midfielder,329,6,154,9,0
419,Mendes,Portugal,midfielder,224,0,117,9,0
420,Miguel,Portugal,defender,90,1,52,2,0
421,Pepe,Portugal,midfielder,136,1,43,3,0
422,Ricardo Costa,Portugal,defender,179,0,44,9,0
